name,description,website,categories,shipping_countries,lightning_supported,onchain_supported,payment_provider,country_made_in,country_shipped_from,last_surveyed,featured,logo
Alternative Airlines,"Experience cheap, fast and secure flight bookings.",https://www.alternativeairlines.com/,Travel,Worldwide,true,true,Coingate,,,2026-02-14,false,
Amnesty International,Support Human Rights and Freedoms.,https://www.amnesty.org/en/,Charity,Worldwide,false,true,The Giving Block,United States,,2026-02-14,false,
Aqua Living,"Discover premium hot tubs, swim spas, and cold tubs.",https://hottub.com/,Hot Tubs|Lifestyle,United States,true,true,Speed,United States,,2026-02-14,false,
AROTAGS,"Premium wood air fresheners for your car. Long-lasting, artisan-crafted scents.",https://www.arotags.com/,Vehicle|Lifestyle,Worldwide,true,false,Strike,United States,,2026-02-14,false,
Atoms,The most comfortable shoes for everyday wear.,https://atoms.com/,Footwear,Worldwide,true,true,Open Node,United States,,2026-02-14,false,
Beef Initiative,"Order beef that is more localized, redundant, and secure.",https://beefinitiative.com/,Food & Drink,United States,true,false,Strike,United States,,2026-02-14,false,
Bees and Trees,Unlock nature's goodness with high-quality organic Manuka Honey,https://www.beesandtrees.com/,Food & Drink,Worldwide,true,false,Strike,New Zealand,,2026-02-14,false,
Bitrefill,"Shop for Gift Cards, eSIMs, and Mobile Recharges with BTC",https://bitrefill.com,Gift Cards|Cellular,Worldwide,true,true,Self-hosted,Sweden,,2026-02-14,true,
Bloom Audio,The most friendly and customer service obsessed store for the world's best audiophile brands,https://bloomaudio.com/,Electronics,Worldwide,true,true,Open Node,United States,,2026-02-14,false,
Cheap Air,"Experience cheap, fast and secure flight bookings.",https://cheapair.com,Travel,Worldwide,true,true,BTCPay Server,United States,,2026-02-14,false,
Chroma,High performance light therapy solutions,https://getchroma.co/,Lifestyle,Worldwide,false,true,BTCPay Server,United States,,2026-02-14,false,
Crave Picks,"Toothpicks designed for adults who want a cleaner, more discreet way to enjoy nicotine",https://cravepicks.com/,Nicotine,Worldwide,true,true,BTCPay Server,United States,,2026-02-14,false,
Daylight Computer,"Healthy and humane computers that respect our health, attention and freedom.",https://daylightcomputer.com,Electronics,Worldwide,true,false,Strike,United States,,2026-02-14,false,
Dope Gallery,"A wide selection of prints, sculptures, art toys, photography and original paintings by names such as Takashi Murakami, Banksy, Kaws, Bearbrick, Edgar Plans",https://dope.gallery/,Art,Worldwide,true,true,NOWPayments,,,2026-02-14,false,
Farfetch,The global destination for modern luxury.,https://www.farfetch.com/,Fashion|Lifestyle,Worldwide,true,true,Triple A,United Kingdom,,2026-02-14,false,
Grab,"The all-in-one platform for rides, delivery, payments and insurance.",https://www.grab.com/,Food Delivery|Taxi|Insurance|Payments,Singapore,true,true,Triple A,Singapore,,2026-02-14,false,
Great Ghee,"3rd party lab-tested, grass-fed, pasture-raised, ghee sourced and produced exclusively in Virginia, USA.",https://greatghee.com,Food & Drink,United States,true,true,Strike,United States,,2026-02-14,false,
Hill Helicopters,Experience the future of private helicopter aviation.,https://www.hillhelicopters.com/,Vehicle,Worldwide,true,true,CoinCorner,United Kingdom,,2026-02-14,false,
Hostinger,"Build, host, and grow online projects with domains.",https://www.hostinger.com/,Hosting,Worldwide,true,true,Coingate,Lithuania,,2026-02-14,false,
Hotel Gift,The #1 best-selling hotel gift card redeemable on 750000+ hotels and 1200+ hotel chains in more than 170 countries worldwide.,https://www.hotelgift.com/,Gift Cards|Travel,Worldwide,true,true,Coingate,Netherlands,,2026-02-14,false,
Jetcraft,"The global leader in business aircraft sales, acquisitions and trades.",https://www.jetcraft.com/,Airplanes,Worldwide,true,true,COINPAYMENTS,United States,,2026-02-14,false,
LaHaus,Digital real estate marketplace that specializes in the sale of new residential properties in Mexico and Columbia.,https://www.lahaus.com/,Real Estate,Mexico|Columbia,true,true,Coingate,Columbia,,2026-02-14,false,
Lomonds School,West Scotland's only day and boarding school welcomes families from around the world to enjoy a first-class education and lifestyle,https://www.lomondschool.com/,Education,United Kingdom,true,true,CoinCorner,United Kingdom,,2026-02-14,false,
Maple AI,Private AI chat with end-to-end encryption.,https://trymaple.ai/,AI|VPN & Privacy,Worldwide,true,true,Zaprite,United States,,2026-02-14,false,
Maxim,"Catering to the modern man with content that promises to seduce, entertain and continuously surprise readers.",https://www.maxim.com/,Magazine|Lifestyle,Worldwide,true,true,Speed,,,2026-02-14,false,
Mirai Flights,Instantly book private jets and empty legs worldwide with real-time fixed pricing.,https://mirai.flights/,Travel,Worldwide,false,true,CoinsPaid,United Kingdom,,2026-02-14,false,
Mullvad VPN,"VPN service that helps keep your online activity, identity, and location private.",https://mullvad.net,VPN & Privacy|VPN,Worldwide,true,true,Self-hosted,Sweden,Sweden,2026-02-14,false,
Namecheap,Register domains and buy web hosting with Bitcoin. Privacy-focused domain registrar.,https://namecheap.com,Hosting,Worldwide,true,true,BTCPay Server,United States,,2026-02-14,false,
Nord VPN,"Fast, secure, and risk-free VPN for online privacy.",https://nordvpn.com/,VPN & Privacy|VPN,Worldwide,true,true,Coingate,,,2026-02-14,false,
Obscura VPN,"""No-log"" VPNs can track you but we are designed to be provably private, as it is technically impossible for us to see your traffic or logs.",https://obscuravpn.com,VPN & Privacy|VPN,Worldwide,true,false,Self-hosted,United States,,2026-02-14,false,
OpenSats,"Funding free and open-source software and projects, particularly those related to Bitcoin, Nostr, and ""freedom tech,"" including protocol development and privacy tools.",https://opensats.org/,Charity,Worldwide,true,true,BTCPay Server,United States,,2026-02-14,false,
Overstock,Find the best online deals on everything for your home and more.,https://www.overstock.com/,Home Goods|Furniture|Jewellery,United States,true,true,COINPAYMENTS,United States,,2026-02-14,false,
PayPerQ,Pay per prompt and get instant access to hundreds of powerful AI models. No subscriptions. No registration required.,https://ppq.ai/,AI,Worldwide,true,true,BTCPay Server,,,2026-02-14,false,
Pika Sim,Privacy-first eSIM for 190+ countries. No account needed.,https://pikasim.com/,Cellular,Worldwide,true,true,BTCPay Server,,,2026-02-14,false,
Polymarket,The world's largest prediction market.,https://polymarket.com/,Gambling,Worldwide,false,true,Self-hosted,United States,,2026-02-14,false,
Primal,"Social media app where you control your identity, content and algorithm with the right to exit.",https://primal.net/,Social Media,Worldwide,true,false,Strike,,,2026-02-14,false,
RPG Stash,Buy Game Items and Services since its launch in 2004.,https://www.rpgstash.com/,Gaming,Worldwide,true,true,Open Node,United Arab Emirates,,2026-02-14,false,
Rumble,"Your rights management video platform. Host, distribute and monetize all your professional, social and viral video.",https://rumble.com/,Social Media,Worldwide,true,true,Self-hosted,United States,,2026-02-14,false,
Save the Children,A leading humanitarian organization for children that has changed the lives of over 1 billion children around the world.,https://www.savethechildren.org/,Charity,Worldwide,false,true,The Giving Block,,,2026-02-14,false,
Signal,"Share text, voice messages, photos, videos, GIFs and files for free securely.",https://signal.org/,Charity|VPN & Privacy|Social Media,Worldwide,false,true,The Giving Block,United States,,2026-02-14,false,
SLNT,Privacy-first Faraday bags and signal blocking accessories.,https://slnt.com,Fashion|VPN & Privacy|Health,Worldwide,true,false,Strike,United States,USA,2026-02-14,false,
Sole,Footbeds that deliver unrivaled comfort and support.,https://yoursole.com/us,Fashion,Worldwide,true,false,Unknown,Canada,,2026-02-14,false,
St Judes Children's Research Hospital,"A leading children's hospital, St. Jude treats the toughest childhood cancers and pediatric diseases.",https://www.stjude.org/,Charity,Worldwide,false,true,The Giving Block,United States,,2026-02-14,false,
Stake,"Play the best online casino games, slots & live casino games, or bet on sports",https://stake.com/,Gambling,Worldwide,false,true,Self-hosted,Curacoa,,2026-02-14,false,
Super Yachts Monaco,Boutique brokerage headquartered in Monaco and operating globally.,https://www.superyachtsmonaco.com/,Yachts,,true,false,Bitcashier,Monaco,,2026-02-14,false,
The Human Rights Foundation,Uniting people under the common cause of defending human rights and promoting liberal democracy.,https://hrf.org,Charity,Worldwide,true,true,BTCPay Server,United States,,2026-02-14,false,
Tor,We advance human rights and defend your privacy online through free software and open networks.,https://torproject.org,VPN & Privacy|Charity,Worldwide,true,true,BTCPay Server,,,2026-02-14,false,
Trade It,"Instantly Trade, Buy or Sell CS2, RUST, and TF2 skins for the lowest fees!",https://tradeit.gg/,Gaming,Worldwide,true,true,NOWPayments,United States,,2026-02-14,false,
Travala,"Book hotels, flights, tours and activities.",https://travala.com,Travel,Worldwide,true,true,Open Node,Singapore,,2026-02-14,false,
Wayland Games,Europe's largest independent retailer for tabletop games and miniatures.,https://www.waylandgames.co.uk/,Games,EEA,true,true,Coingate,United Kingdom,,2026-02-14,false,
